filename	caption	second positive	negative_caption
000000150265.jpg	Two people are walking close to each other on the side of the road.	The two individuals are walking adjacent to each other on the side of the road.	Two people are walking far from each other on the side of the road.
000000288042.jpg	A person holding an umbrella next to a waterway.	A person holds an umbrella near a waterway.	A person putting down an umbrella next to a waterway.
000000264535.jpg	An old person sitting on a bench in a public park.	An elderly person sits on a bench in a public park.	An old person standing near a bench in a public park.
000000420916.jpg	Three people sitting on a bench facing towards the lake.	Three individuals looking towards the lake while  sitting on a bench.	Three people standing on a bench facing towards the lake.
000000295713.jpg	A person sitting looking at their phone with an iron cast person next to them.	Next to the person sitting and staring at phone is an iron-cast person.	A person standing looking at their phone with an iron cast person next to them.
000000578922.jpg	A vase full of flowers on a bathroom sink counter.	The bathroom sink counter has a vase full of flowers on its top.	A vase full of flowers next to a bathroom sink counter.
000000099428.jpg	A laptop with some other electronics on top of it	Some other electronics are placed on top of the laptop.	A laptop with some other electronics next to it.
000000227478.jpg	Two people sit next to each other on a park bench.	A couple of individuals sit adjacent to each other on a park bench.	Two people are standing across from each other in the park.
000000414795.jpg	A herd of elephants walking into a large body of water.	A large body of water is being entered by a herd of elephants.	A herd of elephants walking out of a large body of water.
000000168458.jpg	Flowers sit in a vase, on a table, beside a watering container.	The vase, placed on a table, next to a watering container, holds flowers.	Flowers sit on a table, on top of a vase, beside a watering container.
000000067406.jpg	Two people standing on a field with a kite flying above	A kite is flying above two people who are standing in a field.	Two people are running across a field with a kite flying above.
000000579635.jpg	A person surfing in the ocean with a sail boat behind him.	The sailboat is trailing behind the person surfing in the ocean.	A person diving in the ocean with a sail boat behind him.
000000141328.jpg	A pasta with some different vegetables mixed in	Some different vegetables mixed in with pasta .	A pasta with some different vegetables arranged on top of it.
000000334719.jpg	People walking on sand next to a mountainous area.	People walking beside a mountainous area on sand.	People running on sand next to a mountainous area.
000000216739.jpg	A giraffe sticking its head in the sky next to a tree.	Next to the tree is a giraffe sticking its head in the sky.	A giraffe sticking its head in the sky away from a tree.
000000102644.jpg	A white toilet sitting in a bathroom next to a shower.	A white toilet is located in the bathroom next to the shower.	A white toilet flushing in a bathroom next to a shower.
000000091921.jpg	Some zebras are on a plain of sands and grass.	Some zebras are on a vast expanse of sands and grass.	Some zebras are running on a plain of sands and grass.
000000064359.jpg	Zebras and giraffes together in a zoo cage.	The zoo cage contains both zebras and giraffes together.	Zebras and giraffes separate in a zoo cage.
000000039551.jpg	A person that is standing on a tennis court with a racquet.	A person holding a racquet is standing on a tennis court.	A person that is running around on a tennis court with a racquet.
000000329323.jpg	A group of people that are standing up outside	A cluster of people are standing outdoors.	A group of people that are sitting outside.
000000127987.jpg	A bobble head is shown next to computer screens.	Computer screens are positioned next to the bobble head.	A bobble head is shown far from computer screens.
000000056127.jpg	A room with a fire extinguisher, mugs hanging from a shelf and several lights.	The room contains a fire extinguisher, multiple lights and mugs suspended from a shelf.	A room without a fire extinguisher, mugs hanging from a shelf and several lights.
000000579158.jpg	A blue and red plane on a runway	A red and blue plane is positioned on the runway.	A blue and red plane is flying over a runway.
000000366141.jpg	A cat laying on top of a chair in the living room	A cat is located in the living room laying on top of a chair.	A cat laying next to a chair in the living room.
000000039551.jpg	A tennis player with ball in front and racket drawn back.	A ball is in front of a tennis player with racket is drawn back.	A tennis player with ball behind and racket drawn back.
000000063740.jpg	A desktop with two computers and fruit on it.	On the desktop, there are two computers and a fruit next to them.	A desktop without any computers and fruit on it.
000000415727.jpg	A baseball player grabbing a bat, in a game.	The baseball player grasps a bat during a game.	A baseball player dropping a bat, in a game.
000000314034.jpg	Many cows next to a body of water in a field	Numerous cows are situated alongside a water body in a field.	Many cows far from a body of water in a field.
000000454750.jpg	One zebra resting its head on the back of another.	One zebra places its head on the back of another zebra.	One zebra kicking at the back of another.
000000125062.jpg	A row of white teddy bears on shelf next to DVDs.	A row of white teddy bears are located next to the DVDs on the shelf.	A row of white teddy bears on shelf above DVDs.
000000080340.jpg	A small child wearing a tie stands with their luggage.	A young child standing with luggage wearing a tie.	A small child wearing a tie sits on their luggage.
